severity,dncnn,jpeg20,config_a,router,gain,paired_lcb
1,66.62,63.23,63.870000000000005,66.74,0.11999999999999034,-0.38278924789496044
2,57.230000000000004,62.150000000000006,62.849999999999994,62.41,5.179999999999993,4.574850856594362
3,48.85,55.85,56.04,55.04,6.189999999999998,5.548630323034949
4,28.24,43.519999999999996,43.44,38.78,10.540000000000003,9.86528529367036
5,16.950000000000003,23.06,23.93,20.84,3.889999999999997,3.456172300202821
